MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     17063.25,     16548.90,     16705.25,     16203.25,     16247.95,851144596751.35,3859543509,Y, ,33428626,     18604.45,     14151.40
Y, , ,NIFTY50 EQL Wgt,     19103.60,     18576.40,     18742.85,     18117.90,     18161.45,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     19989.25,     19378.35,     19545.95,     18869.70,     18904.25,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     12647.85,     12320.20,     12434.10,     12091.45,     12123.55,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     31898.10,     30683.80,     31031.45,     29820.70,     29935.85,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,     10717.00,     10387.40,     10470.95,     10119.30,     10138.40,0,0,Y, ,0,     12338.50,      8543.75
Y, , ,NIFTY SMLCAP 50,      4552.05,      4383.05,      4423.20,      4230.15,      4254.00,0,0,Y, ,0,      5889.45,      3904.90
Y, , ,NIFTY SMLCAP 250,      8982.90,      8659.45,      8747.85,      8428.30,      8454.95,0,0,Y, ,0,     10524.55,      6682.20
Y, , ,NIFTY MIDSML 400,     10092.10,      9765.05,      9847.50,      9510.40,      9532.05,0,0,Y, ,0,     11554.15,      7879.90
Y, , ,NIFTY200 QUALTY30,     14099.90,     13721.00,     13849.70,     13480.80,     13521.05,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     17021.10,     16476.80,     16645.05,     16052.05,     16119.95,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     16494.80,     16024.10,     16215.15,     15776.10,     15814.90,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     19384.75,     18731.15,     18931.35,     18226.95,     18266.60,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      2877.90,      2792.75,      2817.25,      2734.85,      2742.80,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 ESG,      3447.25,      3340.25,      3369.95,      3266.80,      3275.60,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY M150 QLTY50,     16113.25,     15688.40,     15797.60,     15343.90,     15386.25,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY INDIA MFG,      7705.50,      7491.45,      7547.65,      7312.95,      7323.75,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     34114.30,     33077.65,     33396.25,     32438.25,     32547.90,0,0,Y, ,0,     39446.70,     24212.80
Y, , ,Nifty Next 50,     40434.20,     39060.05,     39448.55,     38082.70,     38165.20,0,0,Y, ,0,     45290.80,     32873.40
Y, , ,Nifty Bank,     37392.05,     36085.20,     36709.15,     34991.35,     35228.10,0,0,Y, ,0,     41829.60,     30405.65
Y, , ,NIFTY MIDCAP 100,     28467.00,     27562.60,     27809.50,     26779.05,     26832.65,0,0,Y, ,0,     33243.50,     22480.25
Y, , ,Nifty 500,     14506.95,     14055.85,     14180.85,     13747.45,     13775.70,0,0,Y, ,0,     16004.45,     11923.20
Y, , ,Nifty 100,     17273.45,     16742.80,     16897.85,     16384.45,     16428.05,0,0,Y, ,0,     18870.70,     14329.60
Y, , ,Nifty Midcap 50,      7894.25,      7650.30,      7715.45,      7394.85,      7407.65,0,0,Y, ,0,      9196.75,      6325.05
Y, , ,Nifty Realty,       443.55,       421.35,       431.70,       408.85,       411.75,0,0,Y, ,0,       560.90,       298.35
Y, , ,Nifty Infra,      4842.40,      4708.65,      4742.65,      4570.60,      4581.65,0,0,Y, ,0,      5362.80,      3890.30
Y, , ,Nifty Energy,     24164.75,     23513.75,     23679.10,     22831.10,     22928.10,0,0,Y, ,0,     25418.90,     17159.30
Y, , ,Nifty FMCG,     35933.10,     34984.95,     35452.75,     34608.65,     34735.15,0,0,Y, ,0,     42021.45,     32312.45
Y, , ,Nifty MNC,     18596.35,     18140.15,     18283.95,     17840.65,     17886.20,0,0,Y, ,0,     20129.85,     15441.30
Y, , ,Nifty Pharma,     12976.30,     12677.75,     12808.70,     12467.90,     12500.10,0,0,Y, ,0,     14938.25,     11280.80
Y, , ,Nifty PSE,      3890.00,      3804.05,      3834.20,      3682.00,      3692.35,0,0,Y, ,0,      4504.35,      2939.15
Y, , ,Nifty PSU Bank,      2773.90,      2634.55,      2693.00,      2533.30,      2544.70,0,0,Y, ,0,      3133.50,      1910.65
Y, , ,Nifty Serv Sector,     23871.30,     23095.55,     23330.00,     22611.80,     22695.15,0,0,Y, ,0,     25822.85,     19628.30
Y, , ,India VIX,24.5425,24.5425,33.9725,24.5425,31.9825,0,0,Y, ,0,33.9725,9.0250
Y, , ,Nifty Auto,     11318.70,     10946.15,     11056.15,     10542.10,     10609.80,0,0,Y, ,0,     12139.75,      9345.20
Y, , ,Nifty Metal,      5608.90,      5427.15,      5535.95,      5293.40,      5313.65,0,0,Y, ,0,      6312.20,      3614.40
Y, , ,Nifty Media,      2050.10,      1970.10,      1995.00,      1903.30,      1907.60,0,0,Y, ,0,      2494.55,      1409.05
Y, , ,NIFTY SMLCAP 100,      9956.85,      9565.90,      9680.55,      9286.40,      9334.80,0,0,Y, ,0,     12047.45,      7827.60
Y, , ,Nifty 200,      8981.75,      8704.65,      8784.00,      8512.80,      8532.40,0,0,Y, ,0,      9895.10,      7427.00
Y, , ,Nifty Div Opps 50,      3566.70,      3473.20,      3498.95,      3398.50,      3408.75,0,0,Y, ,0,      3971.00,      2941.75
Y, , ,Nifty Commodities,      5640.40,      5479.05,      5524.45,      5317.75,      5329.70,0,0,Y, ,0,      6236.50,      4229.10
Y, , ,Nifty Consumption,      6876.80,      6664.55,      6745.90,      6569.55,      6587.60,0,0,Y, ,0,      7653.45,      5720.85
Y, , ,Nifty Fin Service,     17428.75,     16847.75,     17076.50,     16448.45,     16531.55,0,0,Y, ,0,     19778.95,     14600.65
Y, , ,Nifty50 Div Point,       189.17,       189.17,       189.17,       189.17,       189.17,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100 Liq 15,      4468.60,      4329.95,      4373.50,      4223.05,      4234.00,0,0,Y, ,0,      4790.10,      3409.70
Y, , ,Nifty CPSE,      2345.75,      2305.45,      2320.20,      2241.45,      2248.40,0,0,Y, ,0,      2547.10,      1676.85
Y, , ,Nifty GrowSect 15,      7512.05,      7314.10,      7383.85,      7192.70,      7214.80,0,0,Y, ,0,      8301.15,      6791.70
Y, , ,Nifty50 PR 2x Lev,      8444.10,      7934.20,      8086.35,      7593.25,      7636.40,0,0,Y, ,0,     10268.25,      6075.25
Y, , ,Nifty50 PR 1x Inv,       259.95,       267.80,       273.05,       265.45,       272.40,0,0,Y, ,0,       309.60,       238.00
Y, , ,Nifty50 TR 2x Lev,     11532.40,     10836.05,     11043.80,     10370.35,     10429.25,0,0,Y, ,0,     13910.90,      8110.55
Y, , ,Nifty50 TR 1x Inv,       222.55,       229.30,       233.80,       227.30,       233.25,0,0,Y, ,0,       268.05,       204.60
Y, , ,Nifty50 Value 20,      8732.55,      8503.15,      8574.05,      8330.10,      8357.05,0,0,Y, ,0,      9602.50,      7047.25
Y, , ,Nifty Mid Liq 15,      7104.45,      6892.85,      6940.15,      6639.70,      6656.55,0,0,Y, ,0,      7961.85,      5348.30
Y, , ,Nifty Pvt Bank,     18964.70,     18317.40,     18619.00,     17710.20,     17829.70,0,0,Y, ,0,     21719.30,     16262.45
Y, , ,NIFTY100 Qualty30,      3779.10,      3670.45,      3708.65,      3607.40,      3616.35,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 8 13Yr,      2280.29,      2280.70,      2280.70,      2276.53,      2277.02,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr,      2033.63,      2034.00,      2034.00,      2029.29,      2031.85,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr Cln,       903.12,       903.12,       903.12,       901.01,       902.16,0,0,Y, ,0,          .00,          .00
