MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,NEWGEN,NEWGEN SOFTWARE TECH LTD,       512.25,       520.00,       524.60,       514.00,       516.95,                 49122569.90,94797,N, ,7255,       755.00,       271.55
N,EQ,NFL,NATIONAL FERT. LTD,        45.95,        46.35,        47.60,        46.25,        47.30,                 15751454.90,334759,N, ,2846,        73.70,        37.40
N,EQ,NH,NARAYANA HRUDAYALAYA LTD.,       638.30,       641.50,       654.00,       638.00,       647.35,                 44664959.80,69277,N, ,6517,       679.00,       380.00
N,EQ,NHPC,NHPC LTD,        28.80,        28.80,        28.85,        28.20,        28.25,                105743202.90,3717405,N, ,12121,        37.05,        23.05
N,EQ,NIACL,THE NEW INDIA ASSU CO LTD,       123.85,       126.45,       126.45,       123.00,       123.30,                 15424970.00,124432,N, ,4861,       183.00,       122.25
N,EQ,NIBL,NRB INDUS. BEARINGS LTD.,        22.70,        24.55,        24.55,        22.15,        23.35,                   145685.80,6264,N, ,94,        34.70,        15.75
N,SM,NIDAN,NIDAN LABS AND HEALTH LTD,        43.20,        43.55,        45.15,        43.20,        43.35,                   481500.00,11000,N, ,11,        70.70,        42.55
N,EQ,NIITLTD,NIIT LIMITED,       436.15,       440.00,       448.00,       435.00,       437.40,                200067426.65,453406,N, ,11366,       507.00,       136.00
N,EQ,NILAINFRA,NILA INFRASTRUCTURES LTD,         6.50,         6.40,         6.80,         6.40,         6.70,                  3809278.30,563476,N, ,576,        10.60,         4.15
N,EQ,NILKAMAL,NILKAMAL LIMITED,      2139.70,      2143.35,      2178.00,      2130.05,      2137.35,                  4383538.85,2044,N, ,798,      3180.00,      1755.00
N,EQ,NIPPOBATRY,INDO-NATIONAL LIMITED,       410.95,       405.20,       430.00,       405.20,       416.75,                  1764538.25,4192,N, ,536,      1282.40,       403.25
N,EQ,NIRAJ,NIRAJ CEMENT STRUC LTD,        28.95,        30.55,        30.60,        29.00,        29.30,                   129628.30,4391,N, ,134,        55.90,        28.55
N,EQ,NITCO,NITCO LIMITED,        26.65,        26.20,        27.40,        26.20,        26.80,                  1351438.40,50080,N, ,449,        42.80,        17.35
N,EQ,NITIRAJ,NITIRAJ ENGINEERS LTD,        60.00,        62.05,        63.50,        57.90,        59.75,                   102332.50,1691,N, ,105,        82.80,        38.20
N,EQ,NLCINDIA,NLC INDIA LIMITED,        59.20,        60.00,        61.80,        59.65,        61.40,                104803203.00,1714166,N, ,11048,        80.10,        46.20
N,EQ,NOCIL,NOCIL LIMITED,       202.05,       203.00,       207.50,       199.60,       202.30,                 94553698.40,465072,N, ,13514,       321.30,       157.00
N,EQ,NOIDATOLL,NOIDA TOLL BRIDGE CO LTD,         7.80,         8.55,         8.55,         8.55,         8.55,                   970972.20,113564,N, ,207,        10.25,         5.20
G,EQ,NORBTEAEXP,NORBEN TEA & EXPORTS LTD,         7.10,         6.85,         6.85,         6.85,         6.85,                     3425.00,500,N, ,8,        11.75,         4.90
N,EQ,NOVARTIND,NOVARTIS INDIA LIMITED,       647.40,       660.00,       670.00,       650.05,       661.95,                  7111692.60,10801,N, ,882,       850.00,       640.00
N,SM,NPST,NETWORK PEOPLE SRV TECH L,        77.00,        70.15,        76.70,        70.15,        76.70,                   477360.00,6400,N, ,4,        82.00,        49.05
N,EQ,NRAIL,N R AGARWAL INDS LTD,       217.35,       218.00,       225.95,       215.40,       224.40,                  3071842.40,13834,N, ,816,       361.15,       193.85
N,EQ,NRBBEARING,NRB BEARING LIMITED,       118.80,       122.00,       124.05,       117.60,       118.90,                 36521146.20,302587,N, ,6363,       189.70,        96.50
N,SM,NRL,NUPUR RECYCLERS LIMITED,       199.00,       208.75,       208.95,       194.00,       195.30,                  8415550.00,41800,N, ,19,       316.05,       124.20
N,EQ,NSIL,NALWA SONS INVESTMENT LTD,      1586.15,      1601.95,      1609.00,      1553.20,      1572.65,                  1393899.70,882,N, ,263,      2166.65,       947.00
N,EQ,NUCLEUS,NUCLEUS SOFTWARE EXPORTS,       463.55,       466.00,       475.00,       466.00,       471.15,                  5833112.05,12364,N, ,1053,       766.00,       457.35
N,EQ,NURECA,NURECA LIMITED,      1383.10,      1395.00,      1434.00,      1395.00,      1406.90,                 18550487.20,13105,N, ,3636,      2315.00,       555.60
N,EQ,NUVOCO,NUVOCO VISTAS CORP LTD,       345.20,       343.00,       344.90,       331.25,       335.30,                364901199.20,1075604,N, ,23424,       577.90,       331.25
N,EQ,NXTDIGITAL,NXTDIGITAL LIMITED,       440.65,       450.65,       460.00,       404.25,       418.50,                 42420222.65,95747,N, ,5149,       619.80,       333.30
N,EQ,NYKAA,FSN E COMMERCE VENTURES,      1331.05,      1384.00,      1406.50,      1350.15,      1371.70,               1879610056.95,1365473,N, ,56953,      2573.70,      1219.05
N,EQ,OAL,ORIENTAL AROMATICS LTD,       613.30,       626.90,       639.70,       622.00,       623.20,                  4023811.10,6392,N, ,614,      1100.00,       545.05
N,EQ,OBEROIRLTY,OBEROI REALTY LIMITED,       892.00,       897.65,       939.70,       897.65,       932.85,               1564162718.00,1685020,N, ,37427,      1051.90,       515.10
N,EQ,OCCL,ORIENTAL CARBN & CHEM LTD,       806.00,       840.00,       840.00,       814.90,       822.10,                  3207820.35,3878,N, ,434,      1323.90,       800.00
N,EQ,OFSS,ORACLE FIN SERV SOFT LTD.,      3474.55,      3474.55,      3543.70,      3461.55,      3513.25,                173194689.70,49314,N, ,6173,      5145.00,      2931.05
N,EQ,OIL,OIL INDIA LTD,       220.50,       222.90,       225.45,       217.70,       220.50,                128607633.20,576788,N, ,15453,       267.80,       112.00
N,EQ,OILCOUNTUB,OIL COUNTRY TUBULAR LTD,         8.80,         9.50,         9.65,         9.00,         9.65,                   442356.70,46168,N, ,242,        10.75,         3.80
N,EQ,OLECTRA,OLECTRA GREENTECH LIMITED,       684.25,       692.00,       714.70,       661.60,       671.05,                115054567.60,166815,N, ,7494,       888.80,       166.10
