MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     17530.30,     17599.90,     17663.65,     17457.40,     17475.65,565804299895.00,2264280142,Y, ,20195646,     18604.45,     14151.40
Y, , ,NIFTY50 EQL Wgt,     19838.05,     19899.85,     19998.10,     19792.25,     19826.10,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     20971.35,     21053.70,     21139.00,     20948.25,     20968.35,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     12918.20,     12938.90,     12987.85,     12870.30,     12897.10,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     36605.30,     37039.95,     37211.95,     36294.10,     36352.15,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,     11537.65,     11609.85,     11641.55,     11518.80,     11527.40,0,0,Y, ,0,     12338.50,      8647.50
Y, , ,NIFTY SMLCAP 50,      4908.10,      4949.00,      4973.70,      4924.75,      4929.25,0,0,Y, ,0,      5889.45,      3947.80
Y, , ,NIFTY SMLCAP 250,      9825.20,      9901.75,      9934.75,      9849.25,      9857.95,0,0,Y, ,0,     10524.55,      6768.00
Y, , ,NIFTY MIDSML 400,     10919.55,     10993.20,     11024.80,     10916.05,     10924.50,0,0,Y, ,0,     11554.15,      7975.60
Y, , ,NIFTY200 QUALTY30,     14458.60,     14501.70,     14550.50,     14427.65,     14486.60,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     17288.85,     17353.65,     17401.55,     17140.70,     17164.00,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     17020.05,     17054.80,     17123.75,     16986.95,     17027.10,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     20410.45,     20513.90,     20594.80,     20400.55,     20448.65,0,0,Y, ,0,          .00,          .00
