S No.,Reco Full,Reco Datetime,Reco Provider,Reco For,Symbol,Target Price,Action,Buy Date,Buy Price,Sell Date,Sell Price,Status
5630,Buy Asian Paints; target of Rs 1525: ICICI Direct ,2019-05-10 16:04:00,ICICI Direct,Asian Paints,ASIANPAINT,1525.0,Buy,2019-05-13,1341.05,2019-07-26,1525.0,Complete
5631,Hold Varun Beverages; target of Rs 1040: ICICI Direct ,2019-05-10 16:02:00,ICICI Direct,Varun Beverages,VBL,1040.0,Hold,2019-05-13,912.4,2019-06-17,821.16,Complete
5632,Buy HCL Technologies; target of Rs 1250: Nalanda Securities ,2019-05-10 15:07:00,Nalanda Securities,HCL Technologies,HCLTECH,1250.0,Buy,2019-05-10,1111.0,2019-07-26,999.9,Complete
5633,Accumulate Supreme Industries; target of Rs 1122: Dolat Capital ,2019-05-10 15:05:00,Dolat Capital,Supreme Industries,SUPREMEIND,1122.0,Accumulate,2019-05-10,1008.0,2019-06-27,1122.0,Complete
5634,Buy PNB Housing Finance; target of Rs 875: Motilal Oswal ,2019-05-10 14:59:00,Motilal Oswal,PNB Housing Finance,PNBHOUSING,875.0,Buy,2019-05-10,728.0,2019-05-27,875.0,Complete
5635,Accumulate Asian Paints; target of Rs 1433: Prabhudas Lilladher ,2019-05-10 13:27:00,Prabhudas Lilladher,Asian Paints,ASIANPAINT,1433.0,Accumulate,2019-05-10,1314.1,2019-06-03,1433.0,Complete
5636,Buy KEC International; target of Rs 351: Cholamandalam Securities ,2019-05-10 13:23:00,Cholamandalam Securities,KEC International,KEC,351.0,Buy,2019-05-10,291.0,2019-08-22,261.90000000000003,Complete
5637,Accumulate HCL Technologies; target of Rs 1230: Dolat Capital ,2019-05-10 13:20:00,Dolat Capital,HCL Technologies,HCLTECH,1230.0,Accumulate,2019-05-10,1111.0,2019-07-26,999.9,Complete
5638,Hold KEC International; target of Rs 315: ICICI Direct ,2019-05-10 13:19:00,ICICI Direct,KEC International,KEC,315.0,Hold,2019-05-10,291.0,2019-05-27,315.0,Complete
5639,Hold Tata Communications; target of Rs 540: ICICI Direct ,2019-05-10 13:16:00,ICICI Direct,Tata Communications,TATACOMM,540.0,Hold,,,,,Not Attempted
5640,Buy Titan Company; target of Rs 1290: ICICI Direct ,2019-05-10 13:15:00,ICICI Direct,Titan Company,TITAN,1290.0,Buy,2019-05-10,1108.0,2019-06-12,1290.0,Complete
5641,Buy Supreme Industries; target of Rs 1147: Cholamandalam Securities ,2019-05-09 17:45:00,Cholamandalam Securities,Supreme Industries,SUPREMEIND,1147.0,Buy,2019-05-10,1008.0,2019-06-28,1147.0,Complete
5642,Buy KEC Intl; target of Rs 347: Motilal Oswal ,2019-05-09 16:59:00,Motilal Oswal,KEC Intl,KEC,347.0,Buy,2019-05-10,291.0,2019-08-22,261.90000000000003,Complete
5643,Hold Alembic Pharma; target of Rs 560: ICICI Direct ,2019-05-09 16:56:00,ICICI Direct,Alembic Pharma,APLLTD,560.0,Hold,2019-05-10,540.4,2019-06-18,486.36,Complete
5644,Buy CDSL; target of Rs 335: HDFC Securities ,2019-05-09 16:53:00,HDFC Securities,CDSL,CDSL,335.0,Buy,2019-05-10,225.95,2019-07-18,203.355,Complete
5645,Buy Brigade Enterprises; target of Rs 289: HDFC Securities ,2019-05-09 16:51:00,HDFC Securities,Brigade Enterprises,BRIGADE,289.0,Buy,2019-05-10,239.45,2019-08-19,289.0,Complete
5646,Buy CEAT; target of Rs 1277: Motilal Oswal ,2019-05-09 16:40:00,Motilal Oswal,CEAT,CEATLTD,1277.0,Buy,2019-05-10,1020.0,2019-06-18,918.0,Complete
5647,Buy KEC International; target of Rs 350: Dolat Capital ,2019-05-09 16:39:00,Dolat Capital,KEC International,KEC,350.0,Buy,2019-05-10,291.0,2019-08-22,261.90000000000003,Complete
5648,Hold Star Cement; target of Rs 120: ICICI Direct ,2019-05-09 16:37:00,ICICI Direct,Star Cement,STARCEMENT,120.0,Hold,2019-05-10,109.9,2019-05-27,120.0,Complete
5649,Hold CEAT; target of Rs 1100: Prabhudas Lilladher ,2019-05-09 16:34:00,Prabhudas Lilladher,CEAT,CEATLTD,1100.0,Hold,2019-05-10,1020.0,2019-06-18,918.0,Complete
5650,Accumulate Hindalco Industries; target of Rs 245: Prabhudas Lilladher ,2019-05-09 16:03:00,Prabhudas Lilladher,Hindalco Industries,HINDALCO,245.0,Accumulate,2019-05-10,199.1,2019-08-02,179.19,Complete
5651,Buy Shriram Transport Finance; target of Rs 1481: Prabhudas Lilladher ,2019-05-09 15:58:00,Prabhudas Lilladher,Shriram Transport Finance,SRTRANSFIN,1481.0,Buy,2019-05-10,1025.0,2019-07-24,922.5,Complete
5652,Buy Supreme Industries; target of Rs 1165: ICICI Direct ,2019-05-09 15:54:00,ICICI Direct,Supreme Industries,SUPREMEIND,1165.0,Buy,2019-05-10,1008.0,2019-09-20,1165.0,Complete
5653,Buy Balkrishna Industries; target of Rs 900: Keynotes Financial Opiniery ,2019-05-09 15:52:00,Keynotes Financial Opiniery,Balkrishna Industries,BALKRISIND,900.0,Buy,2019-05-10,841.85,2019-06-17,757.6650000000001,Complete
