S No.,Reco Full,Reco Datetime,Reco Provider,Reco For,Symbol,Target Price,Action,Buy Date,Buy Price,Sell Date,Sell Price,Status
3341,Hold IndusInd Bank; target of Rs 557: Arihant Capital ,2020-08-03 14:38:00,Arihant Capital,IndusInd Bank,INDUSINDBK,557.0,Hold,2020-08-03,521.95,2020-08-26,572.2,Complete
3342,Accumulate Ultratech Cement; target of Rs 4660: Arihant Capital ,2020-08-03 14:37:00,Arihant Capital,Ultratech Cement,ULTRACEMCO,4660.0,Accumulate,2020-08-03,4139.0,2020-10-22,4735.55,Complete
3343,Hold Multi Commodity Exchange; target of Rs 1873: Arihant Capital ,2020-08-03 14:36:00,Arihant Capital,Multi Commodity Exchange,MCX,1873.0,Hold,2020-08-03,1697.6,2020-10-21,1875.0,Complete
3344,Hold Dabur India; target of Rs 515: Arihant Capital ,2020-08-03 14:33:00,Arihant Capital,Dabur India,DABUR,515.0,Hold,2020-08-03,514.85,2020-08-03,518.65,Complete
3345,Buy IndusInd Bank; target of Rs 615: Anand Rathi ,2020-08-03 14:30:00,Anand Rathi,IndusInd Bank,INDUSINDBK,615.0,Buy,2020-08-03,521.95,2020-08-27,619.75,Complete
3346,Buy Mastek; target of Rs 780: Anand Rathi ,2020-08-03 14:11:00,Anand Rathi,Mastek,MASTEK,780.0,Buy,2020-08-03,575.8,2020-09-11,799.25,Complete
3347,Accumulate Manappuram Finance; target of Rs 197: Prabhudas Lilladher ,2020-08-03 14:04:00,Prabhudas Lilladher,Manappuram Finance,MANAPPURAM,197.0,Accumulate,2020-08-03,161.0,2021-07-22,199.9,Complete
3348,Accumulate Cholamandalam Investment and Finance Company; target of Rs 240: Prabhudas Lilladher ,2020-08-03 14:03:00,Prabhudas Lilladher,Cholamandalam Investment and Finance Company,CHOLAHLDNG,240.0,Accumulate,,,,,Not Attempted
3349,Accumulate CEAT; target of Rs 951: Prabhudas Lilladher ,2020-08-03 14:03:00,Prabhudas Lilladher,CEAT,CEATLTD,951.0,Accumulate,2020-08-03,868.0,2020-08-27,959.95,Complete
3350,Accumulate InterGlobe Aviation; target of Rs 965: Prabhudas Lilladher ,2020-08-03 14:02:00,Prabhudas Lilladher,InterGlobe Aviation,INDIGO,965.0,Accumulate,,,,,Not Attempted
3351,Accumulate HDFC; target of Rs 2093: Prabhudas Lilladher ,2020-08-03 14:02:00,Prabhudas Lilladher,HDFC,HDFCLIFE,2093.0,Accumulate,,,,,Not Attempted
3352,Sell TVS Motors; target of Rs 365: Prabhudas Lilladher ,2020-08-03 14:01:00,Prabhudas Lilladher,TVS Motors,TVSMOTOR,365.0,Sell,,,2020-08-03,392.0,Open
3353,Hold Dr. Reddy's Laboratories; target of Rs 4326: Prabhudas Lilladher ,2020-08-03 14:00:00,Prabhudas Lilladher,Dr. Reddy's Laboratories,DRREDDY,4326.0,Hold,,,,,Not Attempted
3354,Hold Sun Pharmaceutical Industries; target of Rs 479: Prabhudas Lilladher ,2020-08-03 13:59:00,Prabhudas Lilladher,Sun Pharmaceutical Industries,SUNPHARMA,479.0,Hold,,,,,Not Attempted
3355,Hold Bharat Electronics; target of Rs 99: Prabhudas Lilladher ,2020-08-03 13:59:00,Prabhudas Lilladher,Bharat Electronics,BEL,99.0,Hold,2020-08-03,96.0,2020-08-03,99.2,Complete
3356,Hold Dabur India; target of Rs 469: Prabhudas Lilladher ,2020-08-03 13:58:00,Prabhudas Lilladher,Dabur India,DABUR,469.0,Hold,,,,,Not Attempted
3357,Hold Max Financial Services; target of Rs 545: Prabhudas Lilladher ,2020-08-03 13:57:00,Prabhudas Lilladher,Max Financial Services,MFSL,545.0,Hold,,,,,Not Attempted
3358,Buy State Bank of India; target of Rs 276: Prabhudas Lilladher ,2020-08-03 13:50:00,Prabhudas Lilladher,State Bank of India,SBIN,276.0,Buy,2020-08-03,192.0,2020-12-11,276.25,Complete
3359,Sell TVS Motor Company; target of Rs 355: Dolat Capital ,2020-08-03 13:39:00,Dolat Capital,TVS Motor Company,TVSMOTOR,355.0,Sell,,,2020-08-03,392.0,Open
3360,Buy Bharti Airtel; target of Rs 660: Dolat Capital ,2020-08-03 13:35:00,Dolat Capital,Bharti Airtel,BHARTIARTL,660.0,Buy,2020-08-03,554.5,2021-08-31,668.1,Complete
3361,Buy CEAT; target of Rs 1092: Dolat Capital ,2020-08-03 13:24:00,Dolat Capital,CEAT,CEATLTD,1092.0,Buy,2020-08-03,868.0,2020-10-22,1100.0,Complete
3362,Buy NIIT; target of Rs 110: Dolat Capital ,2020-08-03 13:23:00,Dolat Capital,NIIT,NIITLTD,110.0,Buy,2020-08-03,96.75,2020-08-20,111.9,Complete
3363,Buy SRF; target of Rs 4306: Dolat Capital ,2020-08-03 13:22:00,Dolat Capital,SRF,SRF,4306.0,Buy,2020-08-03,3785.0,2020-08-11,4307.95,Complete
3364,Buy State Bank of India; target of Rs 245: Dolat Capital ,2020-08-03 13:21:00,Dolat Capital,State Bank of India,SBIN,245.0,Buy,2020-08-03,192.0,2020-11-18,253.0,Complete
3365,Reduce Maruti Suzuki India; target of Rs 6520: Dolat Capital ,2020-08-03 13:07:00,Dolat Capital,Maruti Suzuki India,MARUTI,6520.0,Reduce,,,,,Not Attempted
3366,Reduce Nestle India; target of Rs 16813: Dolat Capital ,2020-08-03 13:06:00,Dolat Capital,Nestle India,NESTLEIND,16813.0,Reduce,,,,,Not Attempted
3367,Reduce Dabur India; target of Rs 495: Dolat Capital ,2020-08-03 13:04:00,Dolat Capital,Dabur India,DABUR,495.0,Reduce,2020-08-14,488.75,2020-08-03,514.85,Complete
3368,Reduce Gateway Distriparks; target of Rs 85: Dolat Capital ,2020-08-03 13:03:00,Dolat Capital,Gateway Distriparks,GATEWAY,85.0,Reduce,,,,,Not Attempted
3369,Reduce Torrent Pharma; target of Rs 2500: Dolat Capital ,2020-08-03 13:02:00,Dolat Capital,Torrent Pharma,TORNTPHARM,2500.0,Reduce,2020-09-24,2455.0,2020-08-03,2663.6,Complete
3370,Buy Sagar Cement; target of Rs 650: ICICI Direct ,2020-08-03 12:45:00,ICICI Direct,Sagar Cement,SAGCEM,650.0,Buy,2020-08-03,485.45,2020-10-19,653.95,Complete
3371,Hold IndusInd Bank; target of Rs 580: ICICI Direct ,2020-08-03 12:44:00,ICICI Direct,IndusInd Bank,INDUSINDBK,580.0,Hold,2020-08-03,521.95,2020-08-27,619.75,Complete
3372,Hold SKF India; target of Rs 1490: ICICI Direct ,2020-08-03 12:42:00,ICICI Direct,SKF India,SKFINDIA,1490.0,Hold,2020-08-03,1487.3,2020-08-04,1510.0,Complete
3373,Reduce Maruti Suzuki India; target of Rs 5300: ICICI Direct ,2020-08-03 12:40:00,ICICI Direct,Maruti Suzuki India,MARUTI,5300.0,Reduce,,,2020-08-03,6380.0,Open
3374,Hold Security and Intelligence Services; target of Rs 345: ICICI Direct ,2020-08-03 12:37:00,ICICI Direct,Security and Intelligence Services,ANDHRACEMT,345.0,Hold,,,,,Not Attempted
3375,Buy Ajanta Pharmaceuticals; target of Rs 1810: ICICI Direct ,2020-08-03 12:36:00,ICICI Direct,Ajanta Pharmaceuticals,AJANTPHARM,1810.0,Buy,2020-08-03,1670.0,2021-01-08,1834.0,Complete
3376,Buy Torrent Pharmaceuticals; target of Rs 2865: ICICI Direct ,2020-08-03 12:35:00,ICICI Direct,Torrent Pharmaceuticals,TORNTPHARM,2865.0,Buy,2020-08-03,2663.6,2020-08-05,2881.5,Complete
3377,Buy Visaka Industries; target of Rs 455: ICICI Securities ,2020-08-03 12:34:00,ICICI Securities,Visaka Industries,VISAKAIND,455.0,Buy,2020-08-03,273.5,2021-01-25,459.0,Complete
3378,Hold Havells India; target of Rs 630: ICICI Direct ,2020-08-03 12:21:00,ICICI Direct,Havells India,HAVELLS,630.0,Hold,2020-08-03,584.0,2020-08-18,637.0,Complete
3379,Buy UltraTech Cement; target of Rs 4915: HDFC Securities ,2020-08-03 12:07:00,HDFC Securities,UltraTech Cement,ULTRACEMCO,4915.0,Buy,2020-08-03,4139.0,2020-11-13,4922.0,Complete
3380,Buy Tech Mahindra; target of Rs 720: HDFC Securities ,2020-08-03 12:06:00,HDFC Securities,Tech Mahindra,TECHM,720.0,Buy,2020-08-03,685.95,2020-08-17,724.4,Complete
3381,Buy Maruti Suzuki; target of Rs 6980: HDFC Securities ,2020-08-03 12:06:00,HDFC Securities,Maruti Suzuki,MARUTI,6980.0,Buy,2020-08-03,6380.0,2020-08-19,7014.7,Complete
3382,Buy Orient Cement; target of Rs 95: HDFC Securities ,2020-08-03 12:06:00,HDFC Securities,Orient Cement,ORIENTCEM,95.0,Buy,2020-08-03,64.15,2021-02-03,95.25,Complete
3383,Buy CDSL; target of Rs 412: HDFC Securities ,2020-08-03 12:05:00,HDFC Securities,CDSL,CDSL,412.0,Buy,2020-08-03,349.9,2020-08-27,434.4,Complete
3384,"Reduce Nestle India; target of Rs 14,103: HDFC Securities ",2020-08-03 12:04:00,HDFC Securities,Nestle India,NESTLEIND,14103.0,Reduce,,,2020-08-03,16528.0,Open
3385,Reduce V-Guard Industries; target of Rs 157: HDFC Securities ,2020-08-03 12:04:00,HDFC Securities,V-Guard Industries,VGUARD,157.0,Reduce,,,2020-08-03,162.85,Open
3386,Reduce Hexaware Technologies; target of Rs 360: HDFC Securities ,2020-08-03 12:03:00,HDFC Securities,Hexaware Technologies,DEVIT,360.0,Reduce,,,,,Not Attempted
3387,Reduce Dr. Reddy’s Labs; target of Rs 3940: HDFC Securities ,2020-08-03 12:03:00,HDFC Securities,Dr. Reddy’s Labs,LALPATHLAB,3940.0,Reduce,,,,,Not Attempted
3388,Reduce RBL Bank; target of Rs 148: HDFC Securities ,2020-08-03 12:02:00,HDFC Securities,RBL Bank,RBLBANK,148.0,Reduce,2021-12-27,130.2,2020-08-03,169.5,Complete
3389,Buy Dabur India; target of Rs 565: ICICI Direct ,2020-08-03 11:47:00,ICICI Direct,Dabur India,DABUR,565.0,Buy,2020-08-03,514.85,2021-04-09,566.35,Complete
3390,Buy Mastek; target of Rs 650: ICICI Direct ,2020-08-03 11:44:00,ICICI Direct,Mastek,MASTEK,650.0,Buy,2020-08-03,575.8,2020-08-03,668.8,Complete
3391,Buy Dr Reddy's Laboratories; target of Rs 5000: ICICI Direct ,2020-08-03 11:43:00,ICICI Direct,Dr Reddy's Laboratories,DRREDDY,5000.0,Buy,2020-08-03,4521.05,2020-09-18,5496.95,Complete
3392,Buy Control Print; target of Rs 270: ICICI Direct ,2020-08-03 11:41:00,ICICI Direct,Control Print,CONTROLPR,270.0,Buy,2020-08-03,212.05,2021-03-18,276.7,Complete
3393,Buy Sanofi India; target of Rs 8815: ICICI Direct ,2020-08-03 11:39:00,ICICI Direct,Sanofi India,SANOFI,8815.0,Buy,2020-08-03,7868.0,2020-08-21,8948.0,Complete
3394,Buy NIIT Technologies; target of Rs 2200: ICICI Direct ,2020-08-03 11:37:00,ICICI Direct,NIIT Technologies,LTTS,2200.0,Buy,2020-08-03,1500.0,2020-12-18,2348.0,Complete
3395,Buy UltraTech Cement; target of Rs 4850: ICICI Direct ,2020-08-03 11:03:00,ICICI Direct,UltraTech Cement,ULTRACEMCO,4850.0,Buy,2020-08-03,4139.0,2020-11-11,4855.95,Complete
3396,Buy United Spirits; target of Rs 670: ICICI Direct ,2020-08-03 11:02:00,ICICI Direct,United Spirits,MCDOWELL-N,670.0,Buy,2020-08-03,582.7,2021-06-17,674.5,Complete
3397,Buy Dhampur Sugar; target of Rs 160: ICICI Direct ,2020-08-03 10:57:00,ICICI Direct,Dhampur Sugar,DHAMPURSUG,160.0,Buy,2020-08-03,126.7,2020-08-27,161.25,Complete
3398,Buy Team Lease; target of Rs 2205: ICICI Direct ,2020-08-03 10:56:00,ICICI Direct,Team Lease,TEAMLEASE,2205.0,Buy,2020-08-03,1860.0,2020-08-13,2206.7,Complete
3399,Buy IDFC First Bank; target of Rs 34: ICICI Direct ,2020-08-03 10:49:00,ICICI Direct,IDFC First Bank,IDFCFIRSTB,34.0,Buy,2020-08-03,26.6,2020-08-31,34.5,Complete
3400,Hold Kewal Kiran Clothing; target of Rs 755: ICICI Direct ,2020-08-03 10:47:00,ICICI Direct,Kewal Kiran Clothing,KKCL,755.0,Hold,2020-08-03,695.0,2020-08-06,775.0,Complete
