MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,BZ,EASUNREYRL,EASUN REYROLLE LTD,         3.55,         3.40,         3.40,         3.40,         3.40,                    12920.00,3800,N, ,6,         4.65,         1.85
N,BZ,EDUCOMP,EDUCOMP SOLUTIONS LTD,         6.25,         5.95,         5.95,         5.95,         5.95,                   229693.80,38604,N, ,162,         8.45,         2.30
N,BZ,GOENKA,GOENKA DIAMOND&JEWELS LTD,         3.15,         3.30,         3.30,         3.30,         3.30,                  3947268.60,1196142,N, ,363,         3.30,         1.00
N,BZ,HDIL,HOUSING DEV & INFRA LTD,         5.35,         5.50,         5.50,         5.10,         5.10,                  1250585.75,241094,N, ,310,         7.10,         4.15
N,BZ,HMT,HMT LTD -,        28.05,        28.10,        29.00,        27.40,        28.05,                   237714.65,8553,N, ,63,        39.95,        20.20
N,BZ,IL&FSENGG,IL&FS ENG AND CONS CO LTD,        14.10,        14.80,        14.80,        13.40,        14.20,                  7536238.15,523347,N, ,699,        14.80,         2.85
N,BZ,IL&FSTRANS,IL&FS TRANS NET LTD,         5.40,         5.40,         5.40,         5.15,         5.15,                   130193.40,25256,N, ,31,         7.15,         2.00
N,BZ,INDOSOLAR,INDOSOLAR LIMITED,         6.45,         6.15,         6.15,         6.15,         6.15,                    64531.95,10493,N, ,35,         7.80,         1.70
N,BZ,JAINSTUDIO,JAIN STUDIOS LIMITED,         2.65,         2.55,         2.55,         2.55,         2.55,                       12.75,5,N, ,2,         3.75,         1.60
N,BZ,JETAIRWAYS,JET AIRWAYS (INDIA) LTD.,        86.20,        86.65,        86.65,        82.50,        83.50,                  5689159.75,67868,N, ,1100,       141.90,        65.10
N,BZ,JIYAECO,JIYA ECO-PRODUCTS LTD,         3.50,         3.65,         3.65,         3.35,         3.65,                   682545.55,189614,N, ,401,         5.10,         2.65
N,BZ,JMTAUTOLTD,JMT AUTO LIMITED,         2.85,         2.75,         2.75,         2.75,         2.75,                   404615.75,147133,N, ,552,         3.20,         2.60
N,BZ,JYOTISTRUC,JYOTI STRUCTURES LTD,        22.30,        22.25,        22.25,        21.20,        21.20,                  3849285.05,180522,N, ,163,        24.65,         3.80
N,BZ,LAKPRE,LAKSHMI PRE SCRE LTD,        10.05,        10.55,        10.55,         9.55,         9.60,                   240951.75,24264,N, ,53,        10.55,         3.65
N,BZ,MCDHOLDING,MCDOWELL HOLDINGS LTD.,        98.55,       103.25,       103.25,        93.65,       100.65,                  4919572.85,50583,N, ,374,       129.95,        93.65
N,BZ,METALFORGE,METALYST FORGINGS LIMITED,         7.15,         6.80,         7.10,         6.80,         6.80,                    74486.30,10911,N, ,92,         8.90,         4.75
N,BZ,NITINFIRE,NITIN FIRE PROT IND. LTD.,         2.90,         2.80,         2.90,         2.80,         2.80,                   898098.35,319487,N, ,280,         2.90,          .55
N,BZ,OPTOCIRCUI,OPTO CIRCUITS (I) LTD,         2.75,         2.85,         2.85,         2.85,         2.85,                  1687017.60,591936,N, ,341,         3.55,         2.35
N,BZ,ORTEL,ORTEL COMMUNICATIONS LTD,         1.55,         1.50,         1.50,         1.50,         1.50,                    24000.00,16000,N, ,7,         1.65,          .70
N,BZ,PAEL,PAE LIMITED,         5.85,         6.10,         6.10,         5.60,         5.60,                   123414.80,21438,N, ,34,        12.70,         1.85
N,BZ,PUNJLLOYD,PUNJ LLOYD LIMITED,         3.40,         3.40,         3.50,         3.25,         3.25,                   328671.45,100243,N, ,98,         4.50,         1.20
N,BZ,RAJVIR,RAJVIR INDUSTRIES LIMITED,         8.65,         9.00,         9.00,         8.25,         8.25,                    15660.00,1895,N, ,4,         9.00,         7.05
N,BZ,RMCL,RADHA MADHAV CO. LTD.,         3.40,         3.50,         3.50,         3.25,         3.25,                   202237.85,62014,N, ,144,         4.50,         1.90
N,BZ,RNAVAL,RELIANCE NAVAL & ENGG LTD,         3.80,         3.75,         3.90,         3.65,         3.70,                  2677862.10,727149,N, ,460,         6.95,         2.50
N,BZ,SANWARIA,SANWARIA CONSUMER LIMITED,         1.50,         1.55,         1.55,         1.45,         1.45,                  6121392.85,4149099,N, ,3179,         1.85,          .55
N,BZ,SEYAIND,SEYA INDUSTRIES LIMITED,        59.45,        58.50,        58.55,        56.50,        56.50,                  1002110.35,17710,N, ,129,        58.55,        56.50
N,BZ,SPENTEX,SPENTEX IND. LTD,         2.70,         2.60,         2.60,         2.60,         2.60,                      520.00,200,N, ,1,         4.50,          .70
N,BZ,TANTIACONS,TANTIA CONST LTD,        16.05,        15.25,        15.25,        15.25,        15.25,                    37149.00,2436,N, ,17,        34.05,         1.70
N,BZ,UNITECH,UNITECH LIMITED,         3.55,         3.55,         3.55,         3.40,         3.40,                  9845863.10,2875304,N, ,1866,         3.95,         1.30
N,BZ,VICEROY,VICEROY HOTELS LIMITED,         5.65,         5.70,         5.70,         5.40,         5.40,                    94111.95,17150,N, ,83,         6.90,         2.55
N,ST,ABCOTS,A B COTSPIN INDIA LIMITED,        59.50,        62.45,        62.45,        56.55,        57.00,                 14460600.00,244000,N, ,58,        62.45,        38.00
N,ST,TIMESCAN,TIMESCAN LOGISTICS IND L,       120.95,       126.95,       126.95,       114.95,       119.80,                 28092300.00,232000,N, ,105,       126.95,        82.00
N,SZ,VASA,VASA RETAIL & OVERSEA LTD,         6.75,         7.05,         7.05,         6.75,         6.75,                   252600.00,36000,N, ,9,         7.05,         6.75
